Customer_ID,Customer_Name,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,Segment
CUST-1028,Vivaan Sinha,608,1,110.76,5,1,1,7,Developing
CUST-1034,Anaya Roy,374,1,183.15,3,1,1,5,At Risk
CUST-1034,Anaya Singh,705,1,2011.29,5,1,5,11,Loyal
CUST-1037,Anaya Patel,190,1,1433.46,2,1,4,7,Developing
CUST-1037,Arjun Patel,724,1,121.08,5,1,1,7,Developing
CUST-1037,Arjun Sinha,626,1,933.6,5,1,3,9,Loyal
CUST-1038,Meera Singh,620,1,4423.41,5,1,5,11,Loyal
CUST-1039,Diya Sinha,399,1,748.97,3,1,3,7,Developing
CUST-1040,Aditya Roy,120,1,1601.24,1,1,4,6,Developing
CUST-1041,Aditya Singh,297,1,1246.29,3,1,4,8,Developing
CUST-1044,Aditya Das,650,1,2345.4,5,1,5,11,Loyal
CUST-1044,Aditya Gupta,429,1,2081.1,3,1,5,9,Loyal
CUST-1044,Isha Gupta,18,1,663.05,1,1,3,5,At Risk
CUST-1045,Arjun Roy,592,1,406.09,5,1,2,8,Developing
CUST-1045,Kabir Kumar,428,1,1637.21,3,1,4,8,Developing
CUST-1046,Arjun Verma,191,1,382.82,2,1,2,5,At Risk
CUST-1048,Diya Patel,345,1,657.42,3,1,3,7,Developing
CUST-1048,Isha Das,648,1,463.31,5,1,2,8,Developing
CUST-1049,Vivaan Sinha,487,1,1457.87,4,1,4,9,Loyal
CUST-1050,Arjun Singh,85,1,1042.46,1,1,4,6,Developing
CUST-1051,Anaya Gupta,273,1,195.22,2,1,1,4,At Risk
CUST-1051,Vivaan Singh,28,1,412.03,1,1,2,4,At Risk
CUST-1052,Riya Sinha,604,1,600.45,5,1,3,9,Loyal
CUST-1053,Arjun Patel,177,1,527.35,2,1,3,6,Developing
CUST-1056,Vivaan Verma,11,1,1061.27,1,1,4,6,Developing
CUST-1057,Kabir Roy,217,1,265.03,2,1,2,5,At Risk
CUST-1058,Vivaan Verma,65,1,90.73,1,1,1,3,At Risk
CUST-1060,Arjun Roy,92,1,1131.79,1,1,4,6,Developing
CUST-1060,Vivaan Kumar,121,1,2549.8,1,1,5,7,Developing
CUST-1061,Diya Sinha,621,1,662.65,5,1,3,9,Loyal
CUST-1061,Riya Sharma,677,1,767.35,5,1,3,9,Loyal
CUST-1062,Riya Sinha,534,1,836.21,4,1,3,8,Developing
CUST-1063,Aarav Sinha,571,1,27.26,4,1,1,6,Developing
CUST-1063,Arjun Roy,254,1,243.07,2,1,1,4,At Risk
CUST-1063,Kabir Sinha,616,1,93.83,5,1,1,7,Developing
CUST-1064,Aarav Roy,41,1,340.97,1,1,2,4,At Risk
CUST-1065,Aditya Patel,370,1,551.62,3,1,3,7,Developing
CUST-1066,Meera Das,646,1,1130.69,5,1,4,10,Loyal
CUST-1066,Riya Roy,527,1,133.03,4,1,1,6,Developing
CUST-1067,Aditya Kumar,198,1,1945.77,2,1,5,8,Developing
CUST-1068,Aditya Kumar,686,1,2503.82,5,1,5,11,Loyal
CUST-1068,Diya Patel,506,1,591.13,4,1,3,8,Developing
CUST-1069,Aarav Gupta,729,1,313.76,5,1,2,8,Developing
CUST-1069,Kabir Patel,518,1,5051.09,4,1,5,10,Loyal
CUST-1070,Meera Das,511,1,183.34,4,1,1,6,Developing
CUST-1071,Diya Patel,474,1,1954.15,4,1,5,10,Loyal
CUST-1072,Aditya Kumar,563,1,586.71,4,1,3,8,Developing
CUST-1073,Anaya Patel,687,1,145.05,5,1,1,7,Developing
CUST-1073,Arjun Sharma,594,1,660.32,5,1,3,9,Loyal
CUST-1073,Meera Roy,42,1,235.24,1,1,1,3,At Risk
CUST-1074,Kabir Roy,484,1,565.79,4,1,3,8,Developing
CUST-1075,Anaya Kumar,377,1,656.54,3,1,3,7,Developing
CUST-1075,Arjun Sinha,307,1,383.81,3,1,2,6,Developing
CUST-1075,Kabir Verma,492,1,578.1,4,1,3,8,Developing
CUST-1076,Isha Singh,633,1,149.49,5,1,1,7,Developing
CUST-1076,Vivaan Jha,133,1,216.51,1,1,1,3,At Risk
CUST-1078,Vivaan Verma,90,1,130.97,1,1,1,3,At Risk
CUST-1080,Diya Sharma,50,1,731.75,1,1,3,5,At Risk
CUST-1081,Diya Sharma,388,1,1060.24,3,1,4,8,Developing
CUST-1082,Arjun Das,313,1,309.45,3,1,2,6,Developing
CUST-1082,Kabir Gupta,521,1,283.82,4,1,2,7,Developing
CUST-1086,Isha Sharma,264,1,292.35,2,1,2,5,At Risk
CUST-1087,Aarav Patel,581,1,400.24,5,1,2,8,Developing
CUST-1088,Kabir Jha,574,1,2422.71,4,1,5,10,Loyal
CUST-1088,Riya Kumar,17,2,1769.91,1,5,4,10,Loyal
CUST-1090,Arjun Das,406,1,862.26,3,1,3,7,Developing
CUST-1090,Arjun Sharma,614,1,2344.7,5,1,5,11,Loyal
CUST-1090,Vivaan Kumar,30,1,750.57,1,1,3,5,At Risk
CUST-1091,Aditya Jha,478,1,569.21,4,1,3,8,Developing
CUST-1091,Aditya Roy,414,1,202.06,3,1,1,5,At Risk
CUST-1092,Meera Das,26,1,129.94,1,1,1,3,At Risk
CUST-1094,Aditya Singh,478,1,888.02,4,1,3,8,Developing
CUST-1094,Arjun Kumar,446,1,4634.34,4,1,5,10,Loyal
CUST-1095,Diya Verma,260,1,3997.73,2,1,5,8,Developing
CUST-1096,Anaya Sinha,618,1,3519.56,5,1,5,11,Loyal
CUST-1097,Anaya Das,541,1,2975.73,4,1,5,10,Loyal
CUST-1097,Anaya Jha,243,1,75.54,2,1,1,4,At Risk
CUST-1098,Aarav Sinha,120,1,598.52,1,1,3,5,At Risk
CUST-1098,Vivaan Verma,264,1,327.18,2,1,2,5,At Risk
CUST-1100,Aarav Gupta,637,1,310.06,5,1,2,8,Developing
CUST-1100,Arjun Jha,26,1,315.55,1,1,2,4,At Risk
CUST-1100,Isha Roy,254,1,374.86,2,1,2,5,At Risk
CUST-1101,Anaya Patel,711,1,974.74,5,1,4,10,Loyal
CUST-1101,Arjun Das,337,1,1093.4,3,1,4,8,Developing
CUST-1101,Diya Kumar,391,1,836.01,3,1,3,7,Developing
CUST-1102,Vivaan Verma,90,1,576.56,1,1,3,5,At Risk
CUST-1103,Vivaan Patel,315,1,1745.87,3,1,4,8,Developing
CUST-1107,Aditya Das,725,1,1565.95,5,1,4,10,Loyal
CUST-1107,Kabir Jha,234,1,82.81,2,1,1,4,At Risk
CUST-1108,Aarav Singh,659,1,412.52,5,1,2,8,Developing
CUST-1108,Isha Sinha,97,1,235.95,1,1,1,3,At Risk
CUST-1109,Vivaan Sinha,415,1,4450.31,3,1,5,9,Loyal
CUST-1110,Aarav Jha,265,1,1983.28,2,1,5,8,Developing
CUST-1112,Riya Verma,59,1,1654.61,1,1,4,6,Developing
CUST-1114,Riya Verma,645,1,1868.97,5,1,4,10,Loyal
CUST-1116,Riya Kumar,182,1,197.25,2,1,1,4,At Risk
CUST-1117,Vivaan Singh,143,1,2534.52,1,1,5,7,Developing
CUST-1119,Isha Jha,444,1,128.34,4,1,1,6,Developing
CUST-1120,Aarav Kumar,259,1,153.63,2,1,1,4,At Risk
CUST-1120,Diya Gupta,583,1,4810.65,5,1,5,11,Loyal
CUST-1121,Riya Singh,21,1,858.14,1,1,3,5,At Risk
CUST-1122,Aarav Roy,173,1,751.44,2,1,3,6,Developing
CUST-1122,Meera Verma,467,1,833.31,4,1,3,8,Developing
CUST-1122,Riya Verma,471,1,370.63,4,1,2,7,Developing
CUST-1123,Aditya Kumar,449,1,1308.99,4,1,4,9,Loyal
CUST-1124,Riya Sinha,131,1,290.44,1,1,2,4,At Risk
CUST-1126,Anaya Das,698,1,578.7,5,1,3,9,Loyal
CUST-1126,Anaya Sinha,37,1,513.33,1,1,2,4,At Risk
CUST-1128,Arjun Kumar,149,1,476.26,2,1,2,5,At Risk
CUST-1128,Riya Gupta,492,1,244.83,4,1,2,7,Developing
CUST-1129,Diya Gupta,311,1,1498.33,3,1,4,8,Developing
CUST-1129,Kabir Singh,604,1,1570.98,5,1,4,10,Loyal
CUST-1130,Anaya Patel,540,1,2691.99,4,1,5,10,Loyal
CUST-1130,Anaya Singh,564,1,173.72,4,1,1,6,Developing
CUST-1130,Diya Verma,228,1,2301.6,2,1,5,8,Developing
CUST-1130,Isha Jha,110,1,485.22,1,1,2,4,At Risk
CUST-1130,Vivaan Singh,214,1,465.28,2,1,2,5,At Risk
CUST-1131,Aarav Gupta,704,1,685.09,5,1,3,9,Loyal
CUST-1131,Arjun Das,15,1,681.98,1,1,3,5,At Risk
CUST-1131,Isha Das,444,1,118.86,4,1,1,6,Developing
CUST-1131,Kabir Patel,731,1,732.44,5,1,3,9,Loyal
CUST-1131,Meera Das,164,1,1846.17,2,1,4,7,Developing
CUST-1133,Aarav Das,253,1,833.61,2,1,3,6,Developing
CUST-1133,Arjun Kumar,67,1,338.05,1,1,2,4,At Risk
CUST-1134,Aarav Sharma,232,1,834.94,2,1,3,6,Developing
CUST-1134,Isha Patel,307,1,596.76,3,1,3,7,Developing
CUST-1136,Arjun Sharma,62,1,871.44,1,1,3,5,At Risk
CUST-1137,Anaya Verma,48,1,338.29,1,1,2,4,At Risk
CUST-1137,Diya Sharma,127,2,102.52000000000001,1,5,1,7,Developing
CUST-1138,Riya Das,46,1,58.72,1,1,1,3,At Risk
CUST-1140,Arjun Sinha,633,1,137.31,5,1,1,7,Developing
CUST-1140,Riya Singh,528,1,257.47,4,1,2,7,Developing
CUST-1141,Aarav Kumar,604,1,2505.64,5,1,5,11,Loyal
CUST-1142,Isha Sinha,36,1,351.07,1,1,2,4,At Risk
CUST-1142,Kabir Gupta,465,1,499.26,4,1,2,7,Developing
CUST-1142,Vivaan Sinha,104,1,3386.63,1,1,5,7,Developing
CUST-1143,Aditya Sinha,68,1,350.4,1,1,2,4,At Risk
CUST-1146,Anaya Jha,682,1,32.92,5,1,1,7,Developing
CUST-1146,Arjun Sinha,553,1,2005.67,4,1,5,10,Loyal
CUST-1147,Aditya Singh,359,1,1433.5,3,1,4,8,Developing
CUST-1149,Aditya Sinha,394,1,1137.67,3,1,4,8,Developing
CUST-1149,Diya Sinha,636,1,320.06,5,1,2,8,Developing
CUST-1149,Isha Sinha,475,1,648.92,4,1,3,8,Developing
CUST-1150,Riya Singh,631,1,248.68,5,1,2,8,Developing
CUST-1151,Diya Sinha,349,1,840.9,3,1,3,7,Developing
CUST-1151,Kabir Singh,338,1,4355.27,3,1,5,9,Loyal
CUST-1152,Aditya Das,77,1,1783.56,1,1,4,6,Developing
CUST-1152,Aditya Singh,22,1,319.03,1,1,2,4,At Risk
CUST-1152,Diya Gupta,674,1,540.14,5,1,3,9,Loyal
CUST-1152,Kabir Das,155,1,731.89,2,1,3,6,Developing
CUST-1152,Kabir Kumar,236,1,197.53,2,1,1,4,At Risk
CUST-1152,Meera Das,237,1,2166.34,2,1,5,8,Developing
CUST-1153,Riya Kumar,501,1,500.3,4,1,2,7,Developing
CUST-1154,Diya Kumar,179,1,269.94,2,1,2,5,At Risk
CUST-1155,Arjun Sharma,473,1,666.29,4,1,3,8,Developing
CUST-1155,Diya Roy,97,1,4631.76,1,1,5,7,Developing
CUST-1155,Kabir Sharma,259,1,1589.22,2,1,4,7,Developing
CUST-1157,Vivaan Das,18,1,55.75,1,1,1,3,At Risk
CUST-1161,Kabir Sharma,132,1,2593.66,1,1,5,7,Developing
CUST-1162,Anaya Jha,609,1,17.81,5,1,1,7,Developing
CUST-1162,Vivaan Kumar,666,1,1013.19,5,1,4,10,Loyal
CUST-1163,Anaya Jha,406,1,2753.63,3,1,5,9,Loyal
CUST-1164,Aditya Das,181,1,1032.4,2,1,4,7,Developing
CUST-1164,Kabir Sharma,47,1,1254.29,1,1,4,6,Developing
CUST-1165,Aarav Roy,119,1,3283.8,1,1,5,7,Developing
CUST-1166,Aarav Verma,125,1,306.29,1,1,2,4,At Risk
CUST-1166,Riya Patel,583,1,135.02,5,1,1,7,Developing
CUST-1167,Arjun Jha,311,1,2977.21,3,1,5,9,Loyal
CUST-1167,Meera Jha,41,1,1911.82,1,1,4,6,Developing
CUST-1168,Aditya Patel,53,1,37.01,1,1,1,3,At Risk
CUST-1168,Riya Kumar,1,1,2768.08,1,1,5,7,Developing
CUST-1170,Isha Jha,49,1,215.72,1,1,1,3,At Risk
CUST-1170,Meera Patel,105,1,1492.19,1,1,4,6,Developing
CUST-1172,Riya Jha,430,1,1859.05,3,1,4,8,Developing
CUST-1173,Diya Singh,485,1,4133.19,4,1,5,10,Loyal
CUST-1174,Arjun Patel,445,1,45.46,4,1,1,6,Developing
CUST-1175,Anaya Patel,510,1,1254.82,4,1,4,9,Loyal
CUST-1175,Anaya Sharma,258,1,198.15,2,1,1,4,At Risk
CUST-1175,Diya Jha,410,1,160.86,3,1,1,5,At Risk
CUST-1175,Isha Sinha,396,1,76.32,3,1,1,5,At Risk
CUST-1176,Riya Gupta,321,1,1537.6,3,1,4,8,Developing
CUST-1176,Vivaan Gupta,508,1,124.35,4,1,1,6,Developing
CUST-1177,Meera Sharma,27,1,596.71,1,1,3,5,At Risk
CUST-1178,Diya Kumar,183,1,287.89,2,1,2,5,At Risk
CUST-1178,Isha Jha,254,1,4663.18,2,1,5,8,Developing
CUST-1180,Riya Sinha,132,1,625.64,1,1,3,5,At Risk
CUST-1181,Arjun Singh,644,1,321.44,5,1,2,8,Developing
CUST-1182,Anaya Sinha,339,1,544.51,3,1,3,7,Developing
CUST-1182,Diya Singh,342,1,556.79,3,1,3,7,Developing
CUST-1182,Meera Gupta,678,1,290.42,5,1,2,8,Developing
CUST-1183,Aditya Sinha,461,1,3108.13,4,1,5,10,Loyal
CUST-1183,Riya Singh,689,1,3898.71,5,1,5,11,Loyal
CUST-1184,Diya Kumar,606,1,2840.6,5,1,5,11,Loyal
CUST-1184,Isha Roy,662,1,226.55,5,1,1,7,Developing
CUST-1184,Kabir Das,123,1,371.6,1,1,2,4,At Risk
CUST-1185,Aarav Das,303,1,130.78,3,1,1,5,At Risk
CUST-1185,Arjun Gupta,270,1,428.53,2,1,2,5,At Risk
CUST-1185,Arjun Kumar,589,1,1512.84,5,1,4,10,Loyal
CUST-1185,Kabir Sinha,467,1,114.11,4,1,1,6,Developing
CUST-1185,Meera Singh,492,1,88.71,4,1,1,6,Developing
CUST-1185,Vivaan Gupta,527,1,1524.71,4,1,4,9,Loyal
CUST-1189,Aditya Verma,636,1,310.91,5,1,2,8,Developing
CUST-1189,Anaya Patel,465,1,147.96,4,1,1,6,Developing
CUST-1191,Arjun Kumar,216,1,969.67,2,1,4,7,Developing
CUST-1192,Aarav Sharma,154,1,162.06,2,1,1,4,At Risk
CUST-1192,Arjun Sharma,634,1,1155.4,5,1,4,10,Loyal
CUST-1195,Aditya Patel,217,2,1221.37,2,5,4,11,Loyal
CUST-1195,Isha Sinha,204,2,3867.04,2,5,5,12,Champions
CUST-1196,Aditya Gupta,490,1,173.23,4,1,1,6,Developing
CUST-1196,Aditya Jha,124,1,2046.82,1,1,5,7,Developing
CUST-1196,Kabir Verma,338,1,3897.73,3,1,5,9,Loyal
CUST-1196,Vivaan Kumar,78,1,1964.0,1,1,5,7,Developing
CUST-1197,Meera Kumar,362,1,4335.96,3,1,5,9,Loyal
CUST-1198,Meera Kumar,336,1,1010.46,3,1,4,8,Developing
CUST-1199,Aditya Roy,581,1,3508.35,5,1,5,11,Loyal
CUST-1199,Vivaan Gupta,115,1,696.24,1,1,3,5,At Risk
CUST-1200,Vivaan Patel,641,1,108.85,5,1,1,7,Developing
CUST-1201,Aarav Sinha,290,1,541.13,2,1,3,6,Developing
CUST-1201,Arjun Das,392,1,129.03,3,1,1,5,At Risk
CUST-1201,Kabir Jha,218,1,4911.21,2,1,5,8,Developing
CUST-1203,Isha Jha,593,1,243.5,5,1,1,7,Developing
CUST-1203,Kabir Sharma,454,1,175.85,4,1,1,6,Developing
CUST-1204,Arjun Singh,599,1,1125.76,5,1,4,10,Loyal
CUST-1205,Diya Sinha,236,1,177.11,2,1,1,4,At Risk
CUST-1206,Arjun Gupta,698,1,1197.56,5,1,4,10,Loyal
CUST-1206,Kabir Das,260,1,653.44,2,1,3,6,Developing
CUST-1206,Meera Jha,651,1,2709.64,5,1,5,11,Loyal
CUST-1207,Anaya Verma,469,1,192.87,4,1,1,6,Developing
CUST-1207,Arjun Roy,458,1,917.79,4,1,3,8,Developing
CUST-1208,Anaya Sharma,613,1,572.41,5,1,3,9,Loyal
CUST-1210,Aditya Verma,471,1,112.38,4,1,1,6,Developing
CUST-1210,Anaya Gupta,366,1,641.9,3,1,3,7,Developing
CUST-1210,Kabir Verma,151,1,1329.42,2,1,4,7,Developing
CUST-1211,Riya Verma,63,1,1058.92,1,1,4,6,Developing
CUST-1211,Vivaan Gupta,350,1,2105.66,3,1,5,9,Loyal
CUST-1211,Vivaan Verma,62,1,1191.63,1,1,4,6,Developing
CUST-1212,Aarav Verma,356,1,75.86,3,1,1,5,At Risk
CUST-1212,Aditya Patel,575,1,1319.3,4,1,4,9,Loyal
CUST-1213,Riya Sharma,712,1,945.45,5,1,3,9,Loyal
CUST-1215,Riya Patel,516,1,210.81,4,1,1,6,Developing
CUST-1217,Aditya Patel,285,1,1284.18,2,1,4,7,Developing
CUST-1218,Kabir Gupta,369,1,1080.62,3,1,4,8,Developing
CUST-1219,Kabir Roy,207,1,70.57,2,1,1,4,At Risk
CUST-1219,Meera Patel,697,1,1202.18,5,1,4,10,Loyal
CUST-1219,Vivaan Kumar,335,1,96.08,3,1,1,5,At Risk
CUST-1219,Vivaan Patel,590,1,1562.91,5,1,4,10,Loyal
CUST-1219,Vivaan Sinha,623,1,1358.29,5,1,4,10,Loyal
CUST-1220,Aditya Gupta,596,1,1252.74,5,1,4,10,Loyal
CUST-1222,Anaya Sharma,282,1,828.35,2,1,3,6,Developing
CUST-1223,Meera Jha,71,1,338.2,1,1,2,4,At Risk
CUST-1224,Anaya Das,576,1,670.76,4,1,3,8,Developing
CUST-1224,Kabir Das,380,1,127.79,3,1,1,5,At Risk
CUST-1225,Anaya Kumar,277,1,3786.75,2,1,5,8,Developing
CUST-1225,Kabir Sharma,400,1,1814.49,3,1,4,8,Developing
CUST-1227,Isha Sinha,479,1,560.02,4,1,3,8,Developing
CUST-1228,Aarav Sinha,332,1,297.95,3,1,2,6,Developing
CUST-1228,Riya Roy,317,1,762.34,3,1,3,7,Developing
CUST-1230,Aarav Singh,111,1,354.76,1,1,2,4,At Risk
CUST-1230,Anaya Kumar,320,1,184.37,3,1,1,5,At Risk
CUST-1230,Anaya Singh,297,1,314.81,3,1,2,6,Developing
CUST-1230,Arjun Gupta,680,1,478.92,5,1,2,8,Developing
CUST-1233,Kabir Kumar,565,1,304.02,4,1,2,7,Developing
CUST-1233,Vivaan Verma,613,1,430.89,5,1,2,8,Developing
CUST-1235,Diya Kumar,556,1,2876.4,4,1,5,10,Loyal
CUST-1236,Riya Sharma,113,1,319.18,1,1,2,4,At Risk
CUST-1238,Isha Sinha,694,1,779.44,5,1,3,9,Loyal
CUST-1240,Kabir Gupta,604,1,364.13,5,1,2,8,Developing
CUST-1241,Anaya Sinha,296,1,1113.28,3,1,4,8,Developing
CUST-1241,Arjun Roy,104,1,922.64,1,1,3,5,At Risk
CUST-1242,Isha Singh,107,1,349.16,1,1,2,4,At Risk
CUST-1242,Isha Verma,146,1,213.78,2,1,1,4,At Risk
CUST-1244,Riya Jha,667,1,1335.28,5,1,4,10,Loyal
CUST-1244,Riya Patel,649,1,3677.8,5,1,5,11,Loyal
CUST-1246,Arjun Singh,343,1,454.68,3,1,2,6,Developing
CUST-1247,Anaya Sharma,603,1,108.08,5,1,1,7,Developing
CUST-1247,Arjun Das,209,1,569.97,2,1,3,6,Developing
CUST-1247,Vivaan Sinha,224,1,1149.52,2,1,4,7,Developing
CUST-1248,Diya Sharma,376,1,899.41,3,1,3,7,Developing
CUST-1248,Kabir Singh,227,1,380.76,2,1,2,5,At Risk
CUST-1249,Anaya Jha,526,1,312.1,4,1,2,7,Developing
CUST-1250,Isha Das,678,1,365.14,5,1,2,8,Developing
CUST-1250,Isha Sinha,596,1,492.12,5,1,2,8,Developing
CUST-1250,Riya Das,65,1,890.87,1,1,3,5,At Risk
CUST-1252,Riya Verma,719,1,1298.56,5,1,4,10,Loyal
CUST-1253,Vivaan Singh,348,1,547.52,3,1,3,7,Developing
CUST-1254,Arjun Jha,99,1,62.68,1,1,1,3,At Risk
CUST-1254,Vivaan Sinha,364,1,91.05,3,1,1,5,At Risk
CUST-1256,Meera Kumar,221,1,661.92,2,1,3,6,Developing
CUST-1257,Isha Sharma,589,1,3118.75,5,1,5,11,Loyal
CUST-1257,Kabir Gupta,453,1,204.27,4,1,1,6,Developing
CUST-1257,Riya Das,628,1,226.05,5,1,1,7,Developing
CUST-1259,Anaya Patel,369,1,1630.6,3,1,4,8,Developing
CUST-1259,Kabir Sinha,497,1,115.21,4,1,1,6,Developing
CUST-1259,Meera Jha,285,1,1070.09,2,1,4,7,Developing
CUST-1259,Riya Roy,8,1,348.19,1,1,2,4,At Risk
CUST-1260,Kabir Patel,502,1,429.27,4,1,2,7,Developing
CUST-1260,Riya Singh,727,1,1124.22,5,1,4,10,Loyal
CUST-1260,Vivaan Jha,540,1,492.7,4,1,2,7,Developing
CUST-1261,Arjun Gupta,538,1,2890.96,4,1,5,10,Loyal
CUST-1261,Isha Sharma,388,1,2082.5,3,1,5,9,Loyal
CUST-1262,Arjun Das,531,1,359.7,4,1,2,7,Developing
CUST-1263,Riya Sinha,474,1,27.73,4,1,1,6,Developing
CUST-1264,Arjun Roy,123,1,483.37,1,1,2,4,At Risk
CUST-1264,Isha Kumar,657,1,196.65,5,1,1,7,Developing
CUST-1264,Riya Das,273,1,907.9,2,1,3,6,Developing
CUST-1265,Diya Das,196,1,762.04,2,1,3,6,Developing
CUST-1266,Isha Sharma,294,1,92.48,3,1,1,5,At Risk
CUST-1267,Aarav Kumar,689,1,311.78,5,1,2,8,Developing
CUST-1268,Diya Kumar,296,1,1128.41,3,1,4,8,Developing
CUST-1269,Meera Roy,194,1,93.77,2,1,1,4,At Risk
CUST-1270,Aarav Sinha,415,1,2150.64,3,1,5,9,Loyal
CUST-1270,Kabir Patel,35,1,681.4,1,1,3,5,At Risk
CUST-1272,Aditya Sharma,114,1,3145.18,1,1,5,7,Developing
CUST-1272,Aditya Verma,372,1,95.02,3,1,1,5,At Risk
CUST-1272,Isha Patel,615,1,212.07,5,1,1,7,Developing
CUST-1275,Arjun Sinha,559,1,476.56,4,1,2,7,Developing
CUST-1277,Meera Sharma,137,1,107.97,1,1,1,3,At Risk
CUST-1279,Anaya Sinha,418,1,286.37,3,1,2,6,Developing
CUST-1279,Vivaan Jha,728,1,924.68,5,1,3,9,Loyal
CUST-1280,Aarav Sharma,204,1,296.34,2,1,2,5,At Risk
CUST-1280,Arjun Sharma,389,1,694.61,3,1,3,7,Developing
CUST-1280,Riya Sinha,96,1,357.0,1,1,2,4,At Risk
CUST-1280,Riya Verma,687,1,377.27,5,1,2,8,Developing
CUST-1281,Riya Verma,493,1,62.65,4,1,1,6,Developing
CUST-1282,Vivaan Jha,408,1,764.38,3,1,3,7,Developing
CUST-1283,Kabir Gupta,625,1,560.68,5,1,3,9,Loyal
CUST-1284,Aditya Roy,529,1,3734.9,4,1,5,10,Loyal
CUST-1284,Arjun Roy,310,1,945.48,3,1,3,7,Developing
CUST-1286,Anaya Verma,120,1,917.19,1,1,3,5,At Risk
CUST-1287,Kabir Das,253,1,829.52,2,1,3,6,Developing
CUST-1287,Meera Verma,350,1,3001.83,3,1,5,9,Loyal
CUST-1288,Kabir Sharma,287,1,842.43,2,1,3,6,Developing
CUST-1289,Aarav Patel,636,1,1868.74,5,1,4,10,Loyal
CUST-1289,Aditya Das,453,1,600.33,4,1,3,8,Developing
CUST-1290,Riya Singh,467,1,263.73,4,1,2,7,Developing
CUST-1290,Vivaan Kumar,431,1,907.36,3,1,3,7,Developing
CUST-1293,Aarav Jha,107,1,407.59,1,1,2,4,At Risk
CUST-1293,Vivaan Sharma,170,1,503.51,2,1,2,5,At Risk
CUST-1294,Aditya Patel,255,1,289.09,2,1,2,5,At Risk
CUST-1295,Anaya Roy,157,1,1234.76,2,1,4,7,Developing
CUST-1295,Kabir Gupta,559,1,584.23,4,1,3,8,Developing
